tag,buch,mtm,n_offen,gebunden,unrealisiert,fortgeschrieben
2019-01-01,10000.0,10000.0,0,0.0,0.0,0
2019-01-02,10000.0,10000.0,0,0.0,0.0,0
2019-01-03,10000.0,10000.0,0,0.0,0.0,0
2019-01-04,10000.0,10000.0,0,0.0,0.0,0
2019-01-05,10000.0,10000.0,0,0.0,0.0,0
2019-01-06,10000.0,10000.0,0,0.0,0.0,0
2019-01-07,10000.0,10000.0,0,0.0,0.0,0
2019-01-08,10000.0,10000.0,0,0.0,0.0,0
2019-01-09,10000.0,10000.0,0,0.0,0.0,0
2019-01-10,10000.0,10000.0,0,0.0,0.0,0
2019-01-11,10000.0,10000.0,0,0.0,0.0,0
2019-01-12,10000.0,10000.0,0,0.0,0.0,0
2019-01-13,10000.0,10000.0,0,0.0,0.0,0
2019-01-14,10000.0,10000.0,0,0.0,0.0,0
2019-01-15,10000.0,10000.0,0,0.0,0.0,0
2019-01-16,10000.0,10000.0,0,0.0,0.0,0
2019-01-17,10000.0,10000.0,0,0.0,0.0,0
2019-01-18,10000.0,10000.0,0,0.0,0.0,0
2019-01-19,10000.0,10000.0,0,0.0,0.0,0
2019-01-20,10000.0,10000.0,0,0.0,0.0,0
2019-01-21,10000.0,10000.0,0,0.0,0.0,0
2019-01-22,10000.0,10000.0,0,0.0,0.0,0
2019-01-23,10000.0,10000.0,0,0.0,0.0,0
2019-01-24,10000.0,10000.0,0,0.0,0.0,0
2019-01-25,10000.0,10000.0,0,0.0,0.0,0
2019-01-26,10000.0,10000.0,0,0.0,0.0,0
2019-01-27,10000.0,10000.0,0,0.0,0.0,0
2019-01-28,10000.0,10000.0,0,0.0,0.0,0
2019-01-29,10000.0,10000.0,0,0.0,0.0,0
2019-01-30,10000.0,10000.0,0,0.0,0.0,0
2019-01-31,10000.0,10000.0,0,0.0,0.0,0
2019-02-01,10000.0,10000.0,0,0.0,0.0,0
2019-02-02,10000.0,10000.0,0,0.0,0.0,0
2019-02-03,10000.0,10000.0,0,0.0,0.0,0
2019-02-04,10000.0,10000.0,0,0.0,0.0,0
2019-02-05,10000.0,10000.0,0,0.0,0.0,0
2019-02-06,10000.0,10000.0,0,0.0,0.0,0
2019-02-07,10000.0,10000.0,0,0.0,0.0,0
2019-02-08,10000.0,10000.0,0,0.0,0.0,0
2019-02-09,10000.0,10000.0,0,0.0,0.0,0
2019-02-10,10000.0,10000.0,0,0.0,0.0,0
2019-02-11,10000.0,10000.0,0,0.0,0.0,0
2019-02-12,10000.0,10000.0,0,0.0,0.0,0
2019-02-13,10000.0,10000.0,0,0.0,0.0,0
2019-02-14,10000.0,10000.0,0,0.0,0.0,0
2019-02-15,10000.0,10000.0,0,0.0,0.0,0
2019-02-16,10000.0,10000.0,0,0.0,0.0,0
2019-02-17,10000.0,10000.0,0,0.0,0.0,0
2019-02-18,10000.0,10000.0,0,0.0,0.0,0
2019-02-19,10000.0,10000.0,0,0.0,0.0,0
2019-02-20,10000.0,10000.0,0,0.0,0.0,0
2019-02-21,10000.0,10000.0,0,0.0,0.0,0
2019-02-22,10000.0,10000.0,0,0.0,0.0,0
2019-02-23,10000.0,10000.0,0,0.0,0.0,0
2019-02-24,10000.0,10000.0,0,0.0,0.0,0
2019-02-25,10000.0,10000.0,0,0.0,0.0,0
